NroTrx;sku;producto;cantidad;precio;subtotal;diasem;customerid;total;useragentbrowser;useragentoperatingsystem;useragentdevice
P000010;110601200006;Pollo trozado x 8 pzas S/M;4;16.5;66;Dom;33671;169;Chrome;Windows;other
P000010;110601400016;Filete de Pechuga;3;30;90;Dom;33671;169;Chrome;Windows;other
P000011;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33669;53;Safari;Mac OS X;other
P000011;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Dom;33669;53;Safari;Mac OS X;other
P000011;110603700039;Enrollado con Frutas Secas;1;27.5;27.5;Dom;33669;53;Safari;Mac OS X;other
P000012;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33665;122.6;Firefox;Windows;other
P000012;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Dom;33665;122.6;Firefox;Windows;other
P000012;110601400016;Filete de Pechuga;2;30;60;Dom;33665;122.6;Firefox;Windows;other
P000012;110603700015;Hamburguesa Premium;2;8.3;16.6;Dom;33665;122.6;Firefox;Windows;other
P000013;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33673;50.8;Chrome Mobile;Android;other
P000013;110601400016;Filete de Pechuga;1;30;30;Dom;33673;50.8;Chrome Mobile;Android;other
P000013;110603500019;Deditos de Pollo;1;7.8;7.8;Dom;33673;50.8;Chrome Mobile;Android;other
P000014;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33672;53.3;Chrome;Windows;other
P000014;110601000027;Pollo Entero S/M;2;16;32;Dom;33672;53.3;Chrome;Windows;other
P000014;110603700015;Hamburguesa Premium;1;8.3;8.3;Dom;33672;53.3;Chrome;Windows;other
P000015;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33674;83.5;Safari;Mac OS X;other
P000015;110601400016;Filete de Pechuga;1;30;30;Dom;33674;83.5;Safari;Mac OS X;other
P000015;110603500049;Filete  a la Criolla;3;13.5;40.5;Dom;33674;83.5;Safari;Mac OS X;other
P000016;110501000031;Huevo Pardo Empacado;3;13;39;Dom;33677;93;Chrome;Windows;other
P000016;110601200009;Pierna Encuentro Fresca;1;54;54;Dom;33677;93;Chrome;Windows;other
P000017;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33678;186.7;Chrome;Windows;other
P000017;110601400016;Filete de Pechuga;4;30;120;Dom;33678;186.7;Chrome;Windows;other
P000017;110603500005;Nuggets Premium;3;6;18;Dom;33678;186.7;Chrome;Windows;other
P000017;110603500013;Nuggets con Quinua;1;8.2;8.2;Dom;33678;186.7;Chrome;Windows;other
P000017;110603700039;Enrollado con Frutas Secas;1;27.5;27.5;Dom;33678;186.7;Chrome;Windows;other
P000018;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33679;53.3;Chrome Mobile;Android;other
P000018;110601000027;Pollo Entero S/M;1;16;16;Dom;33679;53.3;Chrome Mobile;Android;other
P000018;110603500013;Nuggets con Quinua;1;8.2;8.2;Dom;33679;53.3;Chrome Mobile;Android;other
P000018;110603500019;Deditos de Pollo;1;7.8;7.8;Dom;33679;53.3;Chrome Mobile;Android;other
P000018;110603700015;Hamburguesa Premium;1;8.3;8.3;Dom;33679;53.3;Chrome Mobile;Android;other
P000019;110501000031;Huevo Pardo Empacado;2;13;26;Dom;33681;56;Chrome Mobile iOS;iOS;iPhone
P000019;110601400016;Filete de Pechuga;1;30;30;Dom;33681;56;Chrome Mobile iOS;iOS;iPhone
P000020;110501000031;Huevo Pardo Empacado;2;13;26;Dom;33682;171.3;Safari;Mac OS X;other
P000020;110601000027;Pollo Entero S/M;2;16;32;Dom;33682;171.3;Safari;Mac OS X;other
P000020;110601200009;Pierna Encuentro Fresca;1;54;54;Dom;33682;171.3;Safari;Mac OS X;other
P000020;110603500005;Nuggets Premium;2;6;12;Dom;33682;171.3;Safari;Mac OS X;other
P000020;110603500019;Deditos de Pollo;1;7.8;7.8;Dom;33682;171.3;Safari;Mac OS X;other
P000020;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Dom;33682;171.3;Safari;Mac OS X;other
P000020;110603500049;Filete  a la Criolla;2;13.5;27;Dom;33682;171.3;Safari;Mac OS X;other
P000021;110501000031;Huevo Pardo Empacado;3;13;39;Dom;33684;249.2;Mobile Safari;iOS;iPhone
P000021;110601200006;Pollo trozado x 8 pzas S/M;4;16.5;66;Dom;33684;249.2;Mobile Safari;iOS;iPhone
P000021;110601400016;Filete de Pechuga;1;30;30;Dom;33684;249.2;Mobile Safari;iOS;iPhone
P000021;110603500013;Nuggets con Quinua;1;8.2;8.2;Dom;33684;249.2;Mobile Safari;iOS;iPhone
P000021;110603500029;Chicharron de Pechuga de Pollo;2;12.5;25;Dom;33684;249.2;Mobile Safari;iOS;iPhone
P000021;110603500048;Filete a la Pimienta;3;13.5;40.5;Dom;33684;249.2;Mobile Safari;iOS;iPhone
P000021;110603500049;Filete  a la Criolla;3;13.5;40.5;Dom;33684;249.2;Mobile Safari;iOS;iPhone
P000022;110501000031;Huevo Pardo Empacado;2;13;26;Dom;33686;58;Chrome;Windows;other
P000022;110601000027;Pollo Entero S/M;2;16;32;Dom;33686;58;Chrome;Windows;other
P000023;110501000031;Huevo Pardo Empacado;2;13;26;Dom;33691;102.1;Mobile Safari;iOS;iPhone
P000023;110601000027;Pollo Entero S/M;2;16;32;Dom;33691;102.1;Mobile Safari;iOS;iPhone
P000023;110603700015;Hamburguesa Premium;2;8.3;16.6;Dom;33691;102.1;Mobile Safari;iOS;iPhone
P000023;110603700039;Enrollado con Frutas Secas;1;27.5;27.5;Dom;33691;102.1;Mobile Safari;iOS;iPhone
P000024;110601200006;Pollo trozado x 8 pzas S/M;4;16.5;66;Dom;33696;66;Mobile Safari;iOS;iPhone
P000025;110501000031;Huevo Pardo Empacado;2;13;26;Dom;33697;58.5;Chrome Mobile;Android;other
P000025;110601000027;Pollo Entero S/M;1;16;16;Dom;33697;58.5;Chrome Mobile;Android;other
P000025;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Dom;33697;58.5;Chrome Mobile;Android;other
P000026;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33699;143.5;Chrome Mobile;Android;other
P000026;110601000027;Pollo Entero S/M;4;16;64;Dom;33699;143.5;Chrome Mobile;Android;other
P000026;110601200009;Pierna Encuentro Fresca;1;54;54;Dom;33699;143.5;Chrome Mobile;Android;other
P000026;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Dom;33699;143.5;Chrome Mobile;Android;other
P000027;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33701;160.3;Mobile Safari;iOS;iPhone
P000027;110601400016;Filete de Pechuga;2;30;60;Dom;33701;160.3;Mobile Safari;iOS;iPhone
P000027;110603500029;Chicharron de Pechuga de Pollo;2;12.5;25;Dom;33701;160.3;Mobile Safari;iOS;iPhone
P000027;110603500048;Filete a la Pimienta;4;13.5;54;Dom;33701;160.3;Mobile Safari;iOS;iPhone
P000027;110603700015;Hamburguesa Premium;1;8.3;8.3;Dom;33701;160.3;Mobile Safari;iOS;iPhone
P000028;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33690;98;Mobile Safari;iOS;iPhone
P000028;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Dom;33690;98;Mobile Safari;iOS;iPhone
P000028;110601400016;Filete de Pechuga;1;30;30;Dom;33690;98;Mobile Safari;iOS;iPhone
P000028;110603500029;Chicharron de Pechuga de Pollo;2;12.5;25;Dom;33690;98;Mobile Safari;iOS;iPhone
P000028;110603500048;Filete a la Pimienta;1;13.5;13.5;Dom;33690;98;Mobile Safari;iOS;iPhone
P000029;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33706;113.9;Chrome;Windows;other
P000029;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Dom;33706;113.9;Chrome;Windows;other
P000029;110601400016;Filete de Pechuga;2;30;60;Dom;33706;113.9;Chrome;Windows;other
P000029;110603500019;Deditos de Pollo;1;7.8;7.8;Dom;33706;113.9;Chrome;Windows;other
P000029;110603700015;Hamburguesa Premium;2;8.3;16.6;Dom;33706;113.9;Chrome;Windows;other
P000030;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33707;104.3;Facebook;Android;other
P000030;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Dom;33707;104.3;Facebook;Android;other
P000030;110601400015;Filete de Pechuga Corazon;1;32;32;Dom;33707;104.3;Facebook;Android;other
P000030;110603500005;Nuggets Premium;1;6;6;Dom;33707;104.3;Facebook;Android;other
P000030;110603500019;Deditos de Pollo;1;7.8;7.8;Dom;33707;104.3;Facebook;Android;other
P000030;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Dom;33707;104.3;Facebook;Android;other
P000031;110601400016;Filete de Pechuga;1;30;30;Dom;33709;57;Chrome;Mac OS X;other
P000031;110603500048;Filete a la Pimienta;2;13.5;27;Dom;33709;57;Chrome;Mac OS X;other
P000032;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33712;77;Mobile Safari;iOS;iPad
P000032;110601000027;Pollo Entero S/M;4;16;64;Dom;33712;77;Mobile Safari;iOS;iPad
P000033;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33715;97;Mobile Safari;iOS;iPhone
P000033;110601200009;Pierna Encuentro Fresca;1;54;54;Lun;33715;97;Mobile Safari;iOS;iPhone
P000033;110601400016;Filete de Pechuga;1;30;30;Lun;33715;97;Mobile Safari;iOS;iPhone
P000034;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33716;129;Chrome;Windows;other
P000034;110601200016;Muslos Frescos;1;54;54;Lun;33716;129;Chrome;Windows;other
P000034;110601400015;Filete de Pechuga Corazon;1;32;32;Lun;33716;129;Chrome;Windows;other
P000034;110601400016;Filete de Pechuga;1;30;30;Lun;33716;129;Chrome;Windows;other
P000035;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33718;92.4;Chrome Mobile;Android;other
P000035;110601400016;Filete de Pechuga;1;30;30;Lun;33718;92.4;Chrome Mobile;Android;other
P000035;110603500005;Nuggets Premium;2;6;12;Lun;33718;92.4;Chrome Mobile;Android;other
P000035;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33718;92.4;Chrome Mobile;Android;other
P000035;110603700015;Hamburguesa Premium;2;8.3;16.6;Lun;33718;92.4;Chrome Mobile;Android;other
P000036;110501000031;Huevo Pardo Empacado;3;13;39;Lun;33719;55;Facebook;Android;Samsung
P000036;110601000027;Pollo Entero S/M;1;16;16;Lun;33719;55;Facebook;Android;Samsung
P000037;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33722;95.6;Facebook;Android;Samsung
P000037;110601200006;Pollo trozado x 8 pzas S/M;4;16.5;66;Lun;33722;95.6;Facebook;Android;Samsung
P000037;110603700015;Hamburguesa Premium;2;8.3;16.6;Lun;33722;95.6;Facebook;Android;Samsung
P000038;110501000031;Huevo Pardo Empacado;3;13;39;Lun;33723;71;Firefox;Windows;other
P000038;110601000027;Pollo Entero S/M;2;16;32;Lun;33723;71;Firefox;Windows;other
P000039;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33721;87;Chrome;Windows;other
P000039;110601200009;Pierna Encuentro Fresca;1;54;54;Lun;33721;87;Chrome;Windows;other
P000040;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33726;130.4;Chrome;Windows;other
P000040;110601000027;Pollo Entero S/M;4;16;64;Lun;33726;130.4;Chrome;Windows;other
P000040;110603500005;Nuggets Premium;2;6;12;Lun;33726;130.4;Chrome;Windows;other
P000040;110603500013;Nuggets con Quinua;2;8.2;16.4;Lun;33726;130.4;Chrome;Windows;other
P000040;110603500029;Chicharron de Pechuga de Pollo;2;12.5;25;Lun;33726;130.4;Chrome;Windows;other
P000041;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33728;59;Chrome;Windows;other
P000041;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33728;59;Chrome;Windows;other
P000042;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33727;69.3;Mobile Safari;iOS;iPhone
P000042;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Lun;33727;69.3;Mobile Safari;iOS;iPhone
P000042;110603500005;Nuggets Premium;1;6;6;Lun;33727;69.3;Mobile Safari;iOS;iPhone
P000042;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33727;69.3;Mobile Safari;iOS;iPhone
P000042;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Lun;33727;69.3;Mobile Safari;iOS;iPhone
P000042;110603500048;Filete a la Pimienta;1;13.5;13.5;Lun;33727;69.3;Mobile Safari;iOS;iPhone
P000043;110601000027;Pollo Entero S/M;2;16;32;Lun;33729;62;Chrome Mobile;Android;other
P000043;110601400016;Filete de Pechuga;1;30;30;Lun;33729;62;Chrome Mobile;Android;other
P000044;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33730;109.5;Chrome Mobile iOS;iOS;iPhone
P000044;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Lun;33730;109.5;Chrome Mobile iOS;iOS;iPhone
P000044;110601200009;Pierna Encuentro Fresca;1;54;54;Lun;33730;109.5;Chrome Mobile iOS;iOS;iPhone
P000044;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Lun;33730;109.5;Chrome Mobile iOS;iOS;iPhone
P000044;110603500049;Filete  a la Criolla;1;13.5;13.5;Lun;33730;109.5;Chrome Mobile iOS;iOS;iPhone
P000045;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33732;59.5;Mobile Safari;iOS;iPhone
P000045;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Lun;33732;59.5;Mobile Safari;iOS;iPhone
P000045;110601400016;Filete de Pechuga;1;30;30;Lun;33732;59.5;Mobile Safari;iOS;iPhone
P000046;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33733;139.1;Chrome Mobile;Android;other
P000046;110601200006;Pollo trozado x 8 pzas S/M;3;16.5;49.5;Lun;33733;139.1;Chrome Mobile;Android;other
P000046;110601400016;Filete de Pechuga;2;30;60;Lun;33733;139.1;Chrome Mobile;Android;other
P000046;110603700015;Hamburguesa Premium;2;8.3;16.6;Lun;33733;139.1;Chrome Mobile;Android;other
P000047;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33734;52.8;Chrome Mobile iOS;iOS;iPhone
P000047;110603500005;Nuggets Premium;1;6;6;Lun;33734;52.8;Chrome Mobile iOS;iOS;iPhone
P000047;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33734;52.8;Chrome Mobile iOS;iOS;iPhone
P000047;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Lun;33734;52.8;Chrome Mobile iOS;iOS;iPhone
P000047;110603500049;Filete  a la Criolla;1;13.5;13.5;Lun;33734;52.8;Chrome Mobile iOS;iOS;iPhone
P000048;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33737;59.2;Mobile Safari;iOS;iPhone
P000048;110601000027;Pollo Entero S/M;2;16;32;Lun;33737;59.2;Mobile Safari;iOS;iPhone
P000048;110603500005;Nuggets Premium;1;6;6;Lun;33737;59.2;Mobile Safari;iOS;iPhone
P000048;110603500013;Nuggets con Quinua;1;8.2;8.2;Lun;33737;59.2;Mobile Safari;iOS;iPhone
P000049;110601400016;Filete de Pechuga;1;30;30;Lun;33738;56.7;Chrome Mobile;Android;other
P000049;110603500005;Nuggets Premium;1;6;6;Lun;33738;56.7;Chrome Mobile;Android;other
P000049;110603500013;Nuggets con Quinua;1;8.2;8.2;Lun;33738;56.7;Chrome Mobile;Android;other
P000049;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Lun;33738;56.7;Chrome Mobile;Android;other
P000050;110601200009;Pierna Encuentro Fresca;1;54;54;Lun;33739;141;Chrome;Windows;other
P000050;110601400015;Filete de Pechuga Corazon;1;32;32;Lun;33739;141;Chrome;Windows;other
P000050;110603700039;Enrollado con Frutas Secas;2;27.5;55;Lun;33739;141;Chrome;Windows;other
P000051;110601400016;Filete de Pechuga;2;30;60;Lun;33742;60;Mobile Safari;WKWebView;iOS
P000052;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33747;147.1;Mobile Safari;iOS;iPhone
P000052;110601400016;Filete de Pechuga;2;30;60;Lun;33747;147.1;Mobile Safari;iOS;iPhone
P000052;110603500019;Deditos de Pollo;2;7.8;15.6;Lun;33747;147.1;Mobile Safari;iOS;iPhone
P000052;110603500029;Chicharron de Pechuga de Pollo;2;12.5;25;Lun;33747;147.1;Mobile Safari;iOS;iPhone
P000052;110603500049;Filete  a la Criolla;1;13.5;13.5;Lun;33747;147.1;Mobile Safari;iOS;iPhone
P000053;110601000027;Pollo Entero S/M;1;16;16;Lun;33750;73.2;Mobile Safari;iOS;iPhone
P000053;110603500019;Deditos de Pollo;2;7.8;15.6;Lun;33750;73.2;Mobile Safari;iOS;iPhone
P000053;110603500029;Chicharron de Pechuga de Pollo;2;12.5;25;Lun;33750;73.2;Mobile Safari;iOS;iPhone
P000053;110603700015;Hamburguesa Premium;2;8.3;16.6;Lun;33750;73.2;Mobile Safari;iOS;iPhone
P000054;110603700039;Enrollado con Frutas Secas;2;27.5;55;Lun;33730;55;Chrome Mobile iOS;iOS;iPhone
P000055;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33748;83.8;Edge;Windows;other
P000055;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33748;83.8;Edge;Windows;other
P000055;110601400016;Filete de Pechuga;1;30;30;Lun;33748;83.8;Edge;Windows;other
P000055;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33748;83.8;Edge;Windows;other
P000056;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33744;107.5;Chrome;Windows;other
P000056;110601000027;Pollo Entero S/M;2;16;32;Lun;33744;107.5;Chrome;Windows;other
P000056;110601200006;Pollo trozado x 8 pzas S/M;3;16.5;49.5;Lun;33744;107.5;Chrome;Windows;other
P000057;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33741;99;Chrome;Windows;other
P000057;110601000027;Pollo Entero S/M;3;16;48;Lun;33741;99;Chrome;Windows;other
P000057;110603500029;Chicharron de Pechuga de Pollo;2;12.5;25;Lun;33741;99;Chrome;Windows;other
P000058;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33751;78.4;Chrome;Windows;other
P000058;110601000027;Pollo Entero S/M;1;16;16;Lun;33751;78.4;Chrome;Windows;other
P000058;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33751;78.4;Chrome;Windows;other
P000058;110603500029;Chicharron de Pechuga de Pollo;2;12.5;25;Lun;33751;78.4;Chrome;Windows;other
P000058;110603700015;Hamburguesa Premium;2;8.3;16.6;Lun;33751;78.4;Chrome;Windows;other
P000059;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33746;70.8;Chrome;Windows;other
P000059;110601200006;Pollo trozado x 8 pzas S/M;3;16.5;49.5;Lun;33746;70.8;Chrome;Windows;other
P000059;110603700015;Hamburguesa Premium;1;8.3;8.3;Lun;33746;70.8;Chrome;Windows;other
P000060;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33753;62.6;Chrome;Windows;other
P000060;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33753;62.6;Chrome;Windows;other
P000060;110603700015;Hamburguesa Premium;2;8.3;16.6;Lun;33753;62.6;Chrome;Windows;other
P000061;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33752;69;Mobile Safari;iOS;iPhone
P000061;110601400016;Filete de Pechuga;1;30;30;Lun;33752;69;Mobile Safari;iOS;iPhone
P000061;110603500005;Nuggets Premium;1;6;6;Lun;33752;69;Mobile Safari;iOS;iPhone
P000062;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33757;76;Mobile Safari;WKWebView;iOS
P000062;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33757;76;Mobile Safari;WKWebView;iOS
P000062;110601400016;Filete de Pechuga;1;30;30;Lun;33757;76;Mobile Safari;WKWebView;iOS
P000063;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33740;57;Chrome;Windows;other
P000063;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Lun;33740;57;Chrome;Windows;other
P000063;110603700039;Enrollado con Frutas Secas;1;27.5;27.5;Lun;33740;57;Chrome;Windows;other
P000064;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33756;85.8;Chrome;Windows;other
P000064;110601000027;Pollo Entero S/M;1;16;16;Lun;33756;85.8;Chrome;Windows;other
P000064;110601400016;Filete de Pechuga;1;30;30;Lun;33756;85.8;Chrome;Windows;other
P000064;110603500005;Nuggets Premium;1;6;6;Lun;33756;85.8;Chrome;Windows;other
P000064;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33756;85.8;Chrome;Windows;other
P000065;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33760;104.5;Chrome;Windows;other
P000065;110601400015;Filete de Pechuga Corazon;2;32;64;Lun;33760;104.5;Chrome;Windows;other
P000065;110603700039;Enrollado con Frutas Secas;1;27.5;27.5;Lun;33760;104.5;Chrome;Windows;other
P000066;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33764;52.8;Safari;Mac OS X;other
P000066;110601000027;Pollo Entero S/M;2;16;32;Lun;33764;52.8;Safari;Mac OS X;other
P000066;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33764;52.8;Safari;Mac OS X;other
P000067;110501000031;Huevo Pardo Empacado;3;13;39;Lun;33761;104.8;Mobile Safari;iOS;iPhone
P000067;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33761;104.8;Mobile Safari;iOS;iPhone
P000067;110603500005;Nuggets Premium;2;6;12;Lun;33761;104.8;Mobile Safari;iOS;iPhone
P000067;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Lun;33761;104.8;Mobile Safari;iOS;iPhone
P000067;110603700015;Hamburguesa Premium;1;8.3;8.3;Lun;33761;104.8;Mobile Safari;iOS;iPhone
P000068;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33754;61.6;Mobile Safari;WKWebView;iOS
P000068;110601000027;Pollo Entero S/M;2;16;32;Lun;33754;61.6;Mobile Safari;WKWebView;iOS
P000068;110603700015;Hamburguesa Premium;2;8.3;16.6;Lun;33754;61.6;Mobile Safari;WKWebView;iOS
P000069;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33766;56.6;Mobile Safari;WKWebView;iOS
P000069;110601000027;Pollo Entero S/M;1;16;16;Lun;33766;56.6;Mobile Safari;WKWebView;iOS
P000069;110603500005;Nuggets Premium;2;6;12;Lun;33766;56.6;Mobile Safari;WKWebView;iOS
P000069;110603500019;Deditos de Pollo;2;7.8;15.6;Lun;33766;56.6;Mobile Safari;WKWebView;iOS
P000070;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33743;189.7;Chrome;Windows;other
P000070;110601000027;Pollo Entero S/M;1;16;16;Lun;33743;189.7;Chrome;Windows;other
P000070;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33743;189.7;Chrome;Windows;other
P000070;110601400015;Filete de Pechuga Corazon;1;32;32;Lun;33743;189.7;Chrome;Windows;other
P000070;110601400016;Filete de Pechuga;2;30;60;Lun;33743;189.7;Chrome;Windows;other
P000070;110603500013;Nuggets con Quinua;1;8.2;8.2;Lun;33743;189.7;Chrome;Windows;other
P000070;110603700039;Enrollado con Frutas Secas;1;27.5;27.5;Lun;33743;189.7;Chrome;Windows;other
P000071;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33767;147;Chrome;Windows;other
P000071;110601200009;Pierna Encuentro Fresca;1;54;54;Lun;33767;147;Chrome;Windows;other
P000071;110601400016;Filete de Pechuga;2;30;60;Lun;33767;147;Chrome;Windows;other
P000072;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33771;86;Chrome Mobile;Android;other
